address,latitude,longitude,visit_count,type
St-Laurent / Pl. du Marché,45.5092896,-73.562416,2192,average
BAnQ (Berri),45.5160139,-73.5629196,1973,average
Métro Verdun (Willibrord / de Verdun),45.459488,-73.572092,1864,average
Montcalm / de Maisonneuve,45.519139,-73.557866,2215,average
Place Valois (Valois / Ontario),45.5471414,-73.5433951,1265,average
St-Jacques / St-Laurent,45.506421,-73.556466,1082,average
Aylmer / Ste-Catherine,45.5043468,-73.5689485,1282,average
St-Nicolas / Place d'Youville,45.501967,-73.555153,1458,average
Notre-Dame / de la Montagne,45.493029,-73.564818,1631,average
Guizot / St-Laurent,45.539663,-73.634475,1013,average
de la Roche /  de Bellechasse,45.537159,-73.597476,1470,average
Métro Mont-Royal (Pontiac / du Mont-Royal),45.5239839,-73.5830784,1374,average
St-Hubert / Duluth,45.522426,-73.574184,2831,average
de la Roche / Bélanger,45.54167,-73.607604,1685,average
Pierre-de-Coubertin / Aird,45.5590311,-73.5483035,1300,average
Drummond / Ste-Catherine,45.498639,-73.574227,1085,average
1ère avenue / Rosemont,45.5478,-73.584867,1314,average
Casgrain / Maguire,45.525933,-73.595253,1358,average
Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),45.510086,-73.611429,1597,average
de Gaspé / Villeray,45.5388872,-73.623907,1150,average
de Lanaudière / Bélanger,45.543651,-73.60565,1537,average
19e avenue / St-Zotique,45.561594,-73.585643,1034,average
Boucher / St-Denis,45.5278492,-73.5918613,1935,average
Durocher / Beaumont,45.5280002,-73.6192358,1169,average
Querbes / Laurier,45.51754,-73.597832,1317,average
St-Denis / Ste-Catherine,45.5137229,-73.5603105,2394,average
Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,2423,average
Chabot / de Bellechasse,45.54257,-73.592144,1471,average
Desjardins / Ontario,45.551192,-73.540873,1262,average
Sewell / Roy,45.5146774,-73.5765982,1043,average
Garnier / St-Joseph,45.532978,-73.581222,1387,average
Métro Bonaventure (de la Gauchetière / de la Cathédrale),45.4983122,-73.567256,1399,average
University / Prince-Arthur,45.507402,-73.578444,2294,average
du President-Kennedy / Union,45.505011,-73.572028,1635,average
Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),45.496098,-73.621733,2157,average
University / des Pins,45.508203,-73.580112,1143,average
Métro Jarry (Lajeunesse / Jarry),45.5435597,-73.627772,2909,average
Marmier / St-Denis,45.530871,-73.598345,2919,average
Lajeunesse / Villeray,45.542119,-73.622547,1887,average
Richardson / Montmorency,45.4849661,-73.5603225,1601,average
Jeanne-Mance / Fairmount,45.5209837,-73.5972807,1492,average
Ste-Catherine / Union,45.5036663,-73.5695761,2981,average
Canning / Notre-Dame,45.486319,-73.570233,1058,average
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),45.50367,-73.61848,2311,average
Métro Place Saint-Henri (St-Ferdinand / St-Jacques),45.4772809,-73.5873042,1235,average
Henri-Julien / de Castelnau,45.537891,-73.618215,1397,average
Jeanne-Mance / Beaubien,45.52765,-73.6123,1175,average
CHSLD Robert Cliche (de Bellechasse / 16e avenue),45.557568,-73.579191,1019,average
Gare d'autocars de Montréal (Berri / Ontario),45.516897,-73.563949,2470,average
Parc Maisonneuve (Viau / Sherbrooke),45.5649368,-73.5555911,1532,average
St-Denis / de Maisonneuve,45.514404,-73.561919,1381,average
Ottawa / William,45.489727,-73.564063,1585,average
Cartier / Dandurand,45.539236,-73.585946,1304,average
de Maisonneuve / Mansfield (nord),45.502311,-73.5733635,1285,average
