address,latitude,longitude,type
Parc Champdoré (Champdoré / de Lille),45.5691762,-73.6362934,low
Cartier / Gillford,45.535288,-73.5773814,low
Place du Village (St-Jean-Baptiste / Notre-Dame),45.6400029,-73.490113,low
St-Jacques / Vinet,45.485329,-73.5769227,low
Parc St-Henri (Laporte / Guay),45.4801338,-73.5859081,low
Chabanel / du Parc,45.538308,-73.654884,low
St-Urbain / Beaubien,45.52951,-73.61068,low
Ouimet / Goineau,45.5750482,-73.6879957,low
du Havre / de Rouen,45.534563,-73.554787,low
Cypress / Peel,45.499325,-73.571768,low
de Melrose / Sherbrooke,45.46982,-73.616961,low
Notre-Dame / St-Gabriel,45.507144,-73.555119,low
Ste-Catherine / Drummond S/E,45.4986699,-73.5742392,low
Dixie / 54e avenue,45.4433803,-73.7178916,low
Parc St-Laurent (Salk / Thomas-Chapais),45.6062348,-73.6287838,low
St-Urbain / René-Lévesque,45.507838,-73.563136,low
Wolfe / de la Gauchetière,45.5162224,-73.5529733,low
Clark / Fleury,45.547581,-73.665234,low
2e avenue / Jean-Rivard,45.562509,-73.61656,low
Parc de la Confédération (Fielding / West Hill),45.471882,-73.6400217,low
Parc du Pélican (Molson / Masson),45.5440891,-73.5770595,low
Mexico / Valois,45.5847051,-73.7192541,low
Parc Henri-Julien (Legendre / Henri-Julien),45.5460356,-73.6465985,low
de Chambly / Rachel,45.549911,-73.558263,low
Industriel / Louis-J.-Lafortune,45.5819096,-73.4552991,low
d'Orléans / Hochelaga,45.550768,-73.549427,low
Guizot / St-Denis,45.543424,-73.632462,low
Parc St-Claude (8e rue / 7e avenue),45.5622343,-73.6916762,low
LaSalle / Crawford,45.437914,-73.58274,low
de Lanaudière / Bélanger,45.543651,-73.60565,low
Cartier / Rosemont,45.541247,-73.591044,low
12e avenue / St-Zotique,45.556867,-73.589307,low
Graham / Kindersley,45.51405,-73.6472556,low
Beatty / de Verdun,45.45073,-73.572575,low
Hochelaga / de l'Assomption,45.5668831,-73.5394382,low
Berlioz / de l'Île des Soeurs,45.459986,-73.543956,low
Parc St-Louis (St-Joseph / 34e avenue),45.4328398,-73.6934915,low
Grand Boulevard / de Terrebonne,45.470544,-73.63168,low
Michelet / Jean-Talon,45.5762911,-73.583529,low
Parc Howard (de l'Épée / de Liège),45.5616903,-73.610512,low
19e avenue / St-Zotique,45.561594,-73.585643,low
Atwater / Sherbrooke,45.491226,-73.58763,low
Mozart / François-Foucault,45.604288,-73.6649179,low
Boucher / St-Denis,45.5278492,-73.5918613,low
Beaubien / Clark,45.5301473,-73.609824,low
Jardin Botanique dépôt fierté (Sherbrooke / Pie-IX),45.5567924,-73.554647,low
de Gaspé / Villeray,45.5388872,-73.623907,low
Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),45.510086,-73.611429,low
Ernest-Gendreau / du Mont-Royal,45.549714,-73.563848,low
McKenna / Édouard-Montpetit,45.5011651,-73.6205475,low
Stationnement incitatif de Montarville (de Montarville),45.6011636,-73.4499935,low
Casgrain / Maguire,45.525933,-73.595253,low
Métro Verdun (Willibrord / de Verdun),45.459488,-73.572092,low
Bélanger / des Galeries d'Anjou,45.597221,-73.56279,low
Parc Maisonneuve (Viau / Sherbrooke),45.5649368,-73.5555911,low
Richardson / Montmorency,45.4849661,-73.5603225,low
5e avenue / Rosemont,45.5499,-73.583084,low
Alton-Goldbloom / Notre-Dame,45.545026,-73.7378767,low
20e avenue / de Bellechasse,45.5599626,-73.5769522,low
Elgar / de l'Île-des-Sœurs,45.456823,-73.546804,low
Robert-Bourassa / St-Maurice,45.4983705,-73.5605559,low
Bennett / Ste-Catherine,45.553053,-73.532427,low
Gare Montpellier (Muir / de la Côte-Vertu),45.5237405,-73.6716992,low
Métro Acadie (de l'Acadie / Beaumont),45.523575,-73.623443,low
Place Longueuil,45.52841,-73.517166,low
Chabot / Beaubien,45.544376,-73.595645,low
St-Ambroise / Louis-Cyr,45.4751933,-73.5809433,low
de Maisonneuve / Wood,45.4881979,-73.5880705,low
de Lisieux / Jean-Talon,45.579349,-73.581681,low
Rosemont / Viau,45.56833,-73.566663,low
University / Milton,45.506511,-73.576669,low
Métro de l'Église (Ross / de l'Église),45.462726,-73.565959,low
Parc Ivan-Franko (33e avenue / Victoria),45.43746,-73.6935318,low
Desjardins / Ontario,45.551192,-73.540873,low
Métro Bonaventure (de la Gauchetière / de la Cathédrale),45.4983122,-73.567256,low
University / des Pins,45.508203,-73.580112,low
Lajeunesse / Villeray,45.542119,-73.622547,low
St-Joseph / 8e avenue Lachine,45.43155,-73.67112,low
St-Timothé / Robin,45.5186318,-73.5611299,low
Bibliothèque du Boisé (Thimens / Todd),45.504635,-73.704432,low
Clark / de Liège,45.539984,-73.638135,low
Métro Longueuil - Université de Sherbrooke,45.523319,-73.520127,low
Gloria / Dollard,45.429711,-73.6338834,low
Victoria / 18e avenue Lachine,45.435996,-73.680111,low
Parc Plage,45.502828,-73.527793,low
Laforest / Dudemaine,45.539806,-73.687266,low
41e avenue / Victoria,45.440347,-73.7023133,low
de Côme / Jean-Talon,45.588303,-73.5778372,low
de Grosbois / Duchesneau,45.6112307,-73.5312416,low
Christophe-Colomb / Gilford,45.5297028,-73.5828853,low
Parc LaSalle (10e avenue / Victoria),45.4380555,-73.6727393,low
Metcalfe / St-Catherine,45.500832,-73.572459,low
Pierre-de-Coubertin / Langelier,45.580315,-73.535314,low
Stanley / Sherbrooke,45.501041,-73.577178,low
Notre-Dame / Gauvin,45.500105,-73.560199,low
Ateliers municipaux de St-Laurent (Cavendish / Poirier),45.5061758,-73.7111861,low
Gare Lachine (Sir George Simpson / 48e avenue),45.4478213,-73.7109178,low
Parc Aimé-Léonard (Gouin / Ste-Gertrude),45.6083582,-73.6385062,low
de Mortagne / Jean-Neveu,45.5692375,-73.449499,low
St-Germain / Hochelaga,45.543699,-73.553673,low
Parc Kirkland (des Érables / Boyer),45.4460609,-73.6507995,low
St-Sylvestre / St-Charles,45.5363238,-73.5122496,low
des Ormeaux / de Grosbois,45.6059017,-73.5343695,low
CHSLD Robert Cliche (de Bellechasse / 16e avenue),45.557568,-73.579191,low
Logan / d'Iberville,45.53057,-73.54913,low
des Ormeaux / Notre-Dame,45.5992655,-73.5122607,low
Chabot / Laurier,45.5368558,-73.5793731,low
Palm / St-Rémi,45.470366,-73.589816,low
Lamarre / Lavallée,45.5337477,-73.4859958,low
Letourneux / Hochelaga,45.5546589,-73.546603,low
Gordon / Wellington,45.461078,-73.567307,low
Monk / Biencourt,45.4586632,-73.5960227,low
Parc Loyola (Doherty / Somerled),45.4597611,-73.6447746,low
Parc Charleroi (Alfred / Louis-Francoeur),45.5995347,-73.6236025,low
De Callières / d'Auvergne,45.593422,-73.6690217,low
Brittany / Ainsley,45.5258899,-73.6500344,low
Parc Ernest-Rouleau (Gouin),45.6313127,-73.616315,low
Parc Chopin (Dumouchel / Tessier),45.5707266,-73.737086,low
Keller / Cousineau,45.5235502,-73.7138857,low
Le Corbusier / St-Martin O,45.5650067,-73.7319054,low
Parc St-Sacrement (des Seigneurs / St-Sacrement),45.7023493,-73.639578,low
du Souvenir / Chomedey,45.551886,-73.74444,low
Parc Chamberland (Dorais / de l'Église),45.502989,-73.689113,low
Bloomfield / Jean-Talon,45.5274603,-73.6241752,low
Parc de Beauséjour (Gouin / Henri-d'Arles),45.526765,-73.730423,low
McNamara / St-Martin O,45.5712036,-73.7235188,low
Square Nelligan (des Appalaches / Alexis-Nihon),45.5143182,-73.7079982,low
Souligny / Desmarteau,45.6046208,-73.5159963,low
Saint-Denis/de Maisonneuve,45.5144049,-73.5618111,low
Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),45.5794057,-73.6025888,low
90e Avenue / Boulevard Lévesque O,45.5312146,-73.747353,low
Langelier / Marie-Victorin,45.6145192,-73.6122447,low
Hamel / Sauvé,45.560762,-73.650561,low
Hôpital Sacré-Coeur (Forbes),45.5319436,-73.7136054,low
Maisonneuve / Wood,45.4881979,-73.5880705,low
O'Brien / Poirier,45.52246,-73.691564,low
Parc Delorme (Malouin / Laferté),45.5904902,-73.5902694,low
Jeanne-Mance / St-Martin O,45.5574215,-73.7480604,low
Hillside / Ste-Catherine,45.482826,-73.590843,low
de la Commune / Queen,45.496842,-73.5528928,low
de la Peltrie / de la Côte-des-Neiges,45.4997974,-73.6301753,low
Aird / Pierre-de-Coubertin,45.5589253,-73.5480573,low
Parc MacDonald (Clanranald / Isabella),45.4826927,-73.6348128,low
de l'Hotel-de-Ville / Ontario,45.5137452,-73.5666633,low
Parc Beaulac (rue Élizabeth),45.5200557,-73.6779515,low
Robert-Bourassa / René-Lévesque,45.5021829,-73.5682538,low
du Canal / McLaughlin,45.4297026,-73.6694868,low
Duchesneau / de Marseille,45.6096263,-73.522739,low
Parc Laurier (Laurier / Dubuc),45.5336105,-73.4737462,low
Plymouth / Chem.Eden,45.5064888,-73.6604789,low
Parc Ottawa (de Belleville / Fleury),45.58116,-73.6412434,low
Bassin olympique (Chemin du Chenal le Moyne),45.5169025,-73.5272455,low
Pierre-Péladeau / du Centropolis,45.5625118,-73.7437065,low
du Tricentenaire / Prince-Albert,45.649546,-73.491916,low
Bloomfield / Ball,45.5299594,-73.632946,low
Chabot / de Bellechasse,45.54257,-73.592144,low
Natatorium (LaSalle / Rolland),45.444547,-73.575091,low
Tolhurst / Fleury,45.544149,-73.66752,low
du Parc / François-Foucault,45.6057854,-73.66274,low
Parc Lacharité (Latour / Forget),45.4177375,-73.6233855,low
St-Charles / Montarville,45.533682,-73.515261,low
Parc Wilfrid-Bastien (Lacordaire / des Galets),45.5864002,-73.5952181,low
Laird / Glencoe,45.5061916,-73.642308,low
de Grenoble / de Cassis,45.5788972,-73.7049271,low
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534001,-73.6622545,low
Pratt / Bates,45.5169478,-73.6263156,low
Métro St-Laurent dépôt 2 (de Maisonneuve / St-Laurent),45.5107097,-73.5653543,low
Gare du Ruisseau (Dutrisac / Henri-Bourassa),45.5281437,-73.6925454,low
Durocher / Beaumont,45.5280002,-73.6192358,low
Crescent / de Maisonneuve N/E,45.4981204,-73.5775959,low
de Mentana / Gilford,45.528724,-73.583859,low
Métro Cadillac (Cadillac / Sherbrooke),45.5768333,-73.5464742,low
Parc des Hirondelles (Fleury / André-Jobin),45.5760003,-73.6467648,low
Jardin Botanique (Pie-IX / Sherbrooke),45.554947,-73.555295,low
Notre-Dame-de-Grâce / Décarie,45.477353,-73.615372,low
Métro Angrignon (Lamont /  des Trinitaires),45.44691,-73.60363,low
St-Christophe / René-Lévesque,45.5149464,-73.5562329,low
Quai Yvon-Julien (Marie-Victorin / de Montarville),45.606718,-73.4569203,low
Notre-Dame / de la Montagne,45.493029,-73.564818,low
Parc Maurice-Bélanger (Hébert / Denommée),45.5877138,-73.6317182,low
Parc Stoney-Point (St-Joseph / 47e avenue),45.4365683,-73.7083697,low
Louisbourg / O'Brien,45.5303945,-73.7039322,low
Bélanger / St-Laurent,45.5331335,-73.6147285,low
Parc du Bois-Franc (de l'Équateur / des Andes),45.5131776,-73.7130609,low
de Mentana / Laurier,45.53045,-73.587638,low
Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,low
Métro Mont-Royal (Pontiac / du Mont-Royal),45.5239839,-73.5830784,low
41e avenue / Rosemont,45.57179,-73.564315,low
Louis-Hébert / Bélanger,45.551585,-73.599165,low
Legrand / Cartier,45.552298,-73.7073827,low
Drummond / Ste-Catherine,45.498639,-73.574227,low
Champdoré / de Lorimier,45.5668693,-73.6410168,low
Ste-Claire / Pierre-Tétreault,45.6019133,-73.5244185,low
Métro de la Concorde (Léo-Lacombe),45.5604899,-73.7091851,low
Henri-Julien / de Bellechasse,45.5295036,-73.6048646,low
1ère avenue / Rosemont,45.5478,-73.584867,low
Notre-Dame  / St-Martin,45.4883019,-73.5687178,low
St-Urbain / Laurier,45.5216462,-73.5936677,low
St-Antoine / Jean-Paul Riopelle,45.5029397,-73.5606404,low
Parc Van Horne (de la Peltrie / de Westbury),45.4904723,-73.6385324,low
Queen / Wellington,45.497605,-73.55535,low
Ste-Catherine / Sanguinet,45.5128938,-73.5612479,low
35e avenue / Beaubien,45.570081,-73.573047,low
Laurier / de Bordeaux,45.537205,-73.579254,low
Dollard / Bernard,45.516783,-73.611423,low
16e avenue / St-Joseph,45.55287,-73.565631,low
Parc Père-Marquette (Chambord / Rosemont),45.537088,-73.593219,low
Fairmount / Hutchison,45.5196243,-73.598312,low
Jogues / Allard,45.45002,-73.600306,low
Édouard-Montpetit / de Stirling,45.50723,-73.615085,low
Parc du Pélican (2e avenue / St-Joseph),45.544513,-73.571564,low
Kirkfield / de Chambois,45.5129332,-73.6338902,low
