address,latitude,longitude,type
Hamilton / Jolicoeur,45.456355,-73.597557,low
Place Valois (Valois / Ontario),45.5471414,-73.5433951,low
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),45.4962414,-73.6298387,low
Montcalm / de Maisonneuve,45.519139,-73.557866,low
BAnQ (Berri),45.5160139,-73.5629196,low
St-Laurent / Pl. du Marché,45.5092896,-73.562416,low
Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),45.496098,-73.621733,low
du Champ-de-Mars / Gosford,45.509655,-73.554009,low
Parc de Dieppe,45.5018635,-73.543961,low
du President-Kennedy / Union,45.505011,-73.572028,low
St-Grégoire / Christophe-Colomb,45.5325974,-73.5901111,low
Ontario / Sicard,45.556262,-73.537441,low
Milton / St-Laurent,45.5129039,-73.5705918,low
Charles-Daoust / 75e avenue,45.5425059,-73.7409532,low
de Mentana / Marie-Anne,45.526027,-73.577859,low
Métro Charlevoix (Centre / Charlevoix),45.478228,-73.569651,low
Parc Baldwin (Fullum / Sherbrooke),45.5340705,-73.5626507,low
de Maisonneuve / Mansfield (nord),45.502311,-73.5733635,low
Murray / Wellington,45.4921472,-73.5579836,low
de Bellechasse / de St-Vallier,45.53341,-73.601124,low
du Havre / Hochelaga,45.535753,-73.557941,low
Métro Parc  (Hutchison / Ogilvy),45.5303513,-73.6243924,low
Parc d'Antioche (Place d'Antioche / St-Zotique),45.595352,-73.55859,low
Villeneuve / du Parc,45.51829,-73.59235,low
Omer-Lavallée / du Midway,45.545776,-73.562175,low
Gauthier / de Lorimier,45.531674,-73.565413,low
St-Jacques / des Seigneurs,45.489186,-73.5719,low
29e avenue / St-Zotique,45.567766,-73.579688,low
Métro Villa-Maria (de Monkland / Décarie),45.4789684,-73.6195993,low
Mont-Royal / St-Denis,45.5238768,-73.5830489,low
Gare Bois-de-Boulogne,45.539726,-73.677165,low
LaSalle / Godin,45.446934,-73.572199,low
Métro Henri-Bourassa (Henri-Bourassa / Millen),45.556751,-73.667162,low
Métro Lionel-Groulx (St-Jacques / Atwater),45.4836285,-73.5797026,low
St-Alexandre / Ste-Catherine,45.505359,-73.567741,low
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.457509,-73.639485,low
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),45.5140122,-73.5659867,low
de l'Hôtel-de-Ville / Roy,45.517401,-73.574605,low
Plessis / Ontario,45.523492,-73.56073,low
University / Prince-Arthur,45.507402,-73.578444,low
Garnier / St-Joseph,45.532978,-73.581222,low
St-Patrick / Briand,45.463397,-73.596436,low
Drolet / Gounod,45.540951,-73.626375,low
Sewell / Roy,45.5146774,-73.5765982,low
Dollard / Van Horne,45.519153,-73.616469,low
Marcil / Sherbrooke,45.471743,-73.613924,low
Parc Eusèbe-Ménard (Gouin / St-Vital),45.5925395,-73.6487482,low
Hogan / Ontario,45.535295,-73.55116,low
Parc Pratt (Dunlop / Van Horne),45.515007,-73.619788,low
Messier / St-Joseph,45.5394606,-73.5760564,low
du Marché Central / Crémazie,45.5334174,-73.6488837,low
de l'Hôtel-de-Ville / Rachel,45.5198966,-73.5801065,low
Parc Villeray (Christophe-Colomb / Jarry),45.5480925,-73.624261,low
de Laprairie / Centre,45.4813667,-73.5643189,low
William / St-Henri,45.498919,-73.557254,low
St-Hubert / de Maisonneuve (nord),45.5161321,-73.5604969,low
de Gaspé / Jarry,45.54078,-73.630401,low
Shearer / Centre,45.483006,-73.562187,low
de la Côte-Ste-Catherine / Decelles,45.500941,-73.625637,low
Lanaudière / Jean-Talon,45.5454627,-73.6107802,low
d'Orléans / Masson,45.557192,-73.569847,low
de St-Firmin / Fleury,45.570657,-73.651842,low
Métro Joliette  (Hochelaga / Joliette),45.5469919,-73.5511534,low
St-Sylvestre / St-Charles S/E,45.5363889,-73.5124558,low
